League,Year,position,team,matches,pts,xG,xGA,ppda_coef,oppda_coef,deep,deep_allowed
La_liga,2014,1,Barcelona,38,94,102.98015200000002,28.44429270000001,5.683534703382723,16.367592989090525,489,114
La_liga,2014,2,Real Madrid,38,92,95.766243,42.607198,10.209085456325049,12.929510106152213,351,153
La_liga,2014,3,Atletico Madrid,38,78,57.04767,29.069107100000004,8.982028430893806,9.237090640679776,197,123
La_liga,2014,4,Valencia,38,77,55.06250000000001,39.392572,8.709827299105736,7.870224725817145,203,172
La_liga,2014,5,Sevilla,38,76,69.52662400000001,47.86274200000001,8.276147614918786,9.477804782000849,305,168
La_liga,2014,6,Villarreal,38,60,56.767999,40.70181300000001,10.072084889245293,8.679659582326257,242,171
La_liga,2014,7,Athletic Club,38,55,45.54215069999999,44.1067075,7.462405547667463,9.403964980727908,183,171
La_liga,2014,8,Celta Vigo,38,51,58.887332000000015,51.77713800000001,6.056172520220022,10.882769437017174,287,207
La_liga,2014,9,Malaga,38,50,46.221008000000005,54.130818,7.792069340315364,7.019067941073216,184,184
La_liga,2014,10,Rayo Vallecano,38,49,47.790696,70.43346,6.15797837557606,9.73510921556125,147,219
La_liga,2014,11,Espanyol,38,49,43.979193,48.30391579999999,9.381753858685476,7.15821740085443,173,205
La_liga,2014,12,Real Sociedad,38,46,33.48519699999999,51.15811800000001,8.614234642115408,8.829567437616348,146,168
La_liga,2014,13,Elche,38,41,39.61085300000001,58.07177,9.517572254867796,8.623286731035208,107,216
La_liga,2014,14,Getafe,38,37,33.9685805,53.673382,10.145485655483892,7.235660297374932,114,221
La_liga,2014,15,Levante,38,37,35.3017053,60.270317000000006,12.379267906551258,7.501470880491498,97,224
La_liga,2014,16,Deportivo La Coruna,38,35,37.8712378,50.9793042,9.872519602819812,7.921498201535552,133,188
La_liga,2014,17,Granada,38,35,37.38727509999999,54.283784,8.924796294868555,7.551742401644589,117,206
La_liga,2014,18,Eibar,38,35,29.560106899999997,53.71796199999999,9.636161419876489,8.056607783421207,106,225
La_liga,2014,19,Almeria,38,32,38.6699445,58.866805000000014,8.761424561450733,6.230163608502944,136,220
La_liga,2014,20,Cordoba,38,20,29.7645145,57.33977600000001,11.606826266670415,7.530367498117108,91,253
La_liga,2015,1,Barcelona,38,91,113.59827,34.029090100000005,6.012151909468335,15.064389542698626,570,163
La_liga,2015,2,Real Madrid,38,90,90.454148,45.233782,9.251966893412057,14.571880585412604,404,211
La_liga,2015,3,Atletico Madrid,38,88,54.92736500000001,27.797052,8.834883908940133,9.045123902718023,261,170
La_liga,2015,4,Villarreal,38,64,40.488814,41.63078800000001,9.924385958226544,9.034771594108914,188,215
La_liga,2015,5,Athletic Club,38,62,53.89661400000001,45.326224,8.112320106464502,9.674713458534471,221,174
La_liga,2015,6,Celta Vigo,38,60,50.20347,51.98172580000002,6.435314606547314,11.222888296863315,321,245
La_liga,2015,7,Sevilla,38,52,62.97063399999999,46.0882856,8.600500029023523,8.957717525987354,296,216
La_liga,2015,8,Malaga,38,48,45.751884,45.25460600000001,7.83013294058133,7.261826846638326,196,191
La_liga,2015,9,Real Sociedad,38,48,47.947144,48.036505000000005,8.157426954128175,9.268504881207772,185,183
La_liga,2015,10,Real Betis,38,45,40.112455100000005,64.394609,11.124883653663153,6.627317033432555,152,283
La_liga,2015,11,Valencia,38,44,50.50809900000001,61.685717,9.061171747361186,7.278318840048795,203,250
La_liga,2015,12,Las Palmas,38,44,38.676393,59.23681529999999,10.07955223579162,8.927858357891036,228,250
La_liga,2015,13,Espanyol,38,43,46.09186,60.84227799999999,8.504199708180982,7.50859744963642,186,219
La_liga,2015,14,Eibar,38,43,52.916666,50.580983,7.804410334637702,7.974348621324925,191,218
La_liga,2015,15,Deportivo La Coruna,38,42,43.74708699999999,52.374037,11.324321016787865,8.739138471099285,166,240
La_liga,2015,16,Sporting Gijon,38,39,42.5678716,60.61672700000001,11.566715504623808,6.814093478366836,132,265
La_liga,2015,17,Granada,38,39,41.353233,62.37492,8.999244943285099,7.2419761155766595,117,268
La_liga,2015,18,Rayo Vallecano,38,38,52.25944080000001,65.08895700000002,6.963565825291231,9.27039521927305,157,240
La_liga,2015,19,Getafe,38,36,41.773186,63.348645,9.866715449685875,7.230706595147383,159,229
La_liga,2015,20,Levante,38,32,39.2222133,63.54510100000001,10.851727587375509,7.591024497509575,169,272
La_liga,2016,1,Real Madrid,38,93,90.86640999999996,36.862559,9.74243924598858,13.407533416463902,333,173
La_liga,2016,2,Barcelona,38,90,93.55159400000002,31.315663300000004,6.702330217409409,15.710111355512122,552,144
La_liga,2016,3,Atletico Madrid,38,78,60.6589,31.3361685,9.954443662371872,8.828842703081074,265,168
La_liga,2016,4,Sevilla,38,72,59.09482499999999,38.704635,6.97983493590817,10.788850101732494,338,201
La_liga,2016,5,Villarreal,38,67,52.228737,43.1643821,11.527583287821749,10.59270360048253,268,260
La_liga,2016,6,Real Sociedad,38,64,45.58364529999999,43.7127224,7.096117847057872,11.220293953585088,229,168
La_liga,2016,7,Athletic Club,38,63,51.081266,40.45537599999999,7.993490614988312,9.94240019558706,233,167
